Dates,India,China,Brazil,South Korea,Mexico,Indonesia,Kuwait,Saudi 1,Saudi 2,Brent oil,WTI oil
2022-12-29,,,,,,,,,,,
2022-12-28,-0.32072255113213544,0.3879281767664722,0.15059884616031027,2.018153013143298,-0.2551339805599184,-0.2769305004470368,0.2719927946603029,0.14554695134583184,0.07326707769141905,1.2083278964551525,0.7117467768863683
2022-12-27,-0.06765180840027085,-0.9335683176329823,-1.726679391264252,2.4898989200614174,1.6114891383519847,0.577760133831795,-0.5165178676231896,-1.4838767110286533,-1.6122715510673125,1.27694318197209,0.7192913843817372
2022-12-26,-0.8100511442818537,-0.39157384201979895,3.1686561830582605,-0.5933802092963347,-0.3315304484830861,-0.16602595625290206,-0.9499481973355373,-1.38369367069906,-1.329948708432127,-0.4873709498508738,0.0377145016727809
2022-12-23,-1.3373433223830666,-0.09420631879013541,0.9279522513300442,-0.022947951278950995,0.6465006318286726,-0.3517080922074811,-0.16072683893000317,-0.13343320108969436,-0.1501470984939246,0.0,0.0
2022-12-22,2.371436587573683,0.9380931833765871,-2.922324210978733,1.8588265597884401,-1.5134349037332129,0.7594686243734827,0.0,0.0,0.0,-3.566175348402645,-2.6362558209912734
2022-12-21,0.47634947240648984,-2.3619425822880125,-0.5995382367370183,-1.4408531195176266,-0.16051157613965472,0.20989917643152722,-0.0730393531967799,0.9411132205858763,0.8152963488587517,1.4953091458119516,1.0270985143963962
2022-12-20,1.1146045934035342,-0.59129217421372,-0.2593319521107418,0.3991622902920433,-0.7571956737345786,-0.3083529756622738,0.5396863797628271,0.1443147660556754,0.01954429231458832,-2.7253675201404093,-2.8503030731391377
2022-12-19,0.1451516757549065,1.8893949359961582,-3.9743501717113716,0.8739989483484756,-0.6208831689528793,0.7136077781309424,0.8896785433978316,-1.335071726167758,-1.0049513362992535,-0.23781224049672645,-1.1898606798495415
2022-12-16,-0.9018249863741445,0.7521188698355274,-1.3033882628408655,0.25776295867148136,-0.8925404581857421,0.17967633734201627,0.8662137655924163,1.131352087165638,1.1758011520921485,-0.9569451016150587,-1.2041890226220708
2022-12-15,0.9795320630495041,-0.5321659139164048,-0.30843404973488475,0.04078676315133478,-0.5363693653803736,-1.1606199993128286,0.0,0.0,0.0,2.7084338854706402,2.420330911558466
2022-12-14,1.1565449903591762,1.6961427397776951,0.15542967019079867,1.7410410435242163,1.8895009964911225,1.1386116507237531,0.7945943000318145,-0.17166225957065961,-0.2898033646133946,1.818120973532622,1.5255527624963072
2022-12-13,-0.24469603351731095,-0.8522558751912435,1.2009609861329373,-1.2822828121942464,0.9339622577478224,0.024675698097453846,-0.12848489301209298,-0.09068085698977768,-0.2791998091031367,-2.4728888943633898,-2.4760549680652666
2022-12-12,-0.47846193371912094,-0.20250805269412808,0.26549165697913324,0.1286911450672612,-0.7419821329971654,-0.911427747609217,0.33195051228531725,-2.1667822334477727,-1.8032477665077096,-3.3910099743605038,-2.98891393276719
2022-12-09,0.017918865312260834,2.7074411764957063,4.376423160485832,0.6270923560021124,0.05297973413469492,-0.9535028450160965,0.6924328218278042,1.9702506133208786,1.5150678477167112,-2.4532348474766152,-2.9823973380996627
2022-12-08,0.7483036104138918,-1.8380054869834517,-0.07361820009181841,-1.0445417617056307,2.190957275993277,0.763150663052059,0.0,0.0,0.0,0.06568144735306092,0.6176325080321732
2022-12-07,-0.1676815381183694,-3.6361918876236743,1.8223614663192222,0.11223818117800377,-1.127702873369607,-0.23422708044744667,-0.7675784199534519,-0.9610936298861006,-0.9804403975391729,1.3305701128341063,0.7667145665512187
2022-12-06,0.4224123040622807,2.8914250626300486,0.7956744591241183,0.6164618509059139,0.31654257950126663,1.7645251018862496,0.06741262860625596,3.1789792234740766,3.013418364849141,2.785766650290622,3.063277942203335
2022-12-05,0.24057974509661406,0.6210235764116945,-1.2006484658462213,1.1844622479600275,-0.19222669681653315,1.6000636447337513,2.3819746615298065,-0.46818557536152383,-0.3492736412984421,4.110928784114964,3.5458139788034693
2022-12-02,0.0968144403597826,-4.5923205237098585,2.6120763105613953,0.5890649006421889,2.809093511464944,0.6862325767199806,0.23704353303992676,3.994703847899128,3.975048443560869,3.435701961639559,3.888068594782901
2022-12-01,0.4748001001737556,-0.22712534098570103,0.0,2.2539177746309313,1.8000071401919726,0.3669020490477237,0.0,0.0,0.0,1.5193101755661687,1.5384918839479234
2022-11-30,-0.2568454869211756,-0.42317771485222977,0.02908379458252952,-0.2385484526651105,-0.5511483694668584,1.2184849190505886,0.3834652947798389,0.662630337908432,0.7271804905045087,-1.6830529022097807,-0.8283412635168297
2022-11-29,-0.9899500502238645,-2.644345121569547,-2.3064986541375454,-1.822515782966061,-2.0363181011676446,-2.0701717424580934,-0.914359780374685,-1.3877276870705835,-1.4393976629755834,-2.8495338889587885,-2.96084620717183
2022-11-28,-0.37953740173479744,-5.543587922173021,-3.382715924203339,-1.031496286451894,1.4047491418798685,-0.20732891373516082,-0.030298439862175286,0.2783184159440566,-0.005462284875168422,0.1925160021857053,-1.2352189990951778
2022-11-25,-0.34697539513368625,0.9689144768869618,0.38891401106058154,1.2280699624731994,1.153541648256251,-0.04353097729108413,0.8073382969280729,1.5880036024051414,1.723673749627963,0.5275159097638316,-1.2506676828095031
2022-11-24,-0.23167201836367113,0.9075105913126436,3.369130597202119,0.4368096756551587,0.48155311544064716,0.13210309096702844,0.0,0.0,0.0,2.0240970366419475,2.152851917834475
