date	france	germany	italy	uk	us	canada	russia	brazil	south africa	mexico	oil
2001-02-21	-0.974616379	-1.088613876	-0.146887337	0.043882089	-1.848467873	-2.114996914	-9.339259947	-2.159001104	-1.576148605	-4.089853531	-0.94358126
2001-02-22	-0.947279263	-1.641340531	-1.123594491	0.695144753	-0.255729953	1.295002916	4.267230797	0.55034109	-0.950323465	-0.354555337	0.340715832
2001-02-23	-2.395574324	-3.217169506	-1.233314682	-0.866765957	-0.565031989	-1.369977469	-4.282613858	0.667614066	-1.487173413	-0.626205463	0.226500663
2001-02-26	1.861522326	2.250072871	1.584068056	-1.120731621	1.880817779	1.874248588	3.747971152	0.785673672	1.734010581	1.988125588	-1.558078261
2001-02-27	1.403417395	1.43479956	0.351391932	0.448780002	-0.754932982	-0.779080694	-2.474158688	-0.196999286	2.052901422	-0.054526187	-0.345290963
2001-02-28	-1.202341599	0.825990941	0.419519197	-0.281270277	-1.469179796	0.251360049	1.145553434	-1.045430718	-1.509545843	-0.629928949	-1.744568378
2001-03-01	0.389780103	-0.489931139	-0.265128533	0.81674325	0.082356768	-0.199673168	-2.239381485	2.057181603	-0.667088854	0.812703853	1.089081165
2001-03-02	-0.069265602	1.153454776	-0.591643127	0.529300662	-0.707311349	-1.982835776	0.507524589	1.648744924	-0.761929718	1.202869124	0.578593707
2001-03-05	0.809337863	-0.001671298	-0.829932027	0.848750202	0.551651909	1.19488986	5.269155841	0.100697957	0.029321729	0.082720908	2.69414891
2001-03-06	1.623527946	1.312585466	1.990815402	1.105372974	0.868259806	1.798629801	5.506647635	-0.797518161	-0.214720075	2.109559649	-0.864829605
2001-03-07	0.19070884	-0.033318645	0.148341457	-0.571867672	0.614202254	0.356628652	1.5580028	-0.732424959	-0.205266636	0.845494768	2.792957562
2001-03-08	-0.569287064	-0.154328625	0.464214502	0.538139116	0.23114192	-1.076245919	0.048133173	0.840789452	1.708103046	0.927864897	-2.040508564
2001-03-09	-1.257702781	-1.080985081	-1.335549011	-1.3632052	-2.46127438	-1.478791261	-0.01207083	-0.783190437	-0.88388145	-1.345022127	-1.320524754
2001-03-12	-2.768220664	-2.95681735	-2.90743803	-1.678943357	-4.571700179	-2.81037666	-4.628337755	-4.796782138	-1.429464637	-4.66588398	-1.64660048
2001-03-13	-2.346355786	-2.974426273	-1.224949139	-2.352616488	1.665467641	0.589116194	-0.168609864	0.390351912	-1.246122811	0.431121499	-2.422939943
2001-03-14	-1.86987674	-3.540992385	-1.710370403	-1.739989749	-2.657248568	-2.230219699	-5.488709302	-2.48856869	-3.993500074	-2.197650004	-5.488066736
2001-03-15	0.869671811	1.539868651	-0.192939608	1.615746182	0.55022821	0.077782233	3.154699823	-2.279285877	-0.212589465	-0.520191633	1.08064227
2001-03-16	-2.911079159	-4.142523635	-2.421220659	-3.989417543	-2.08151337	-1.503447676	1.005254766	-0.993833135	-3.114270473	0.872065754	3.493450291
2001-03-19	-0.630230205	-1.373360777	0.077154166	-0.408346342	1.763442942	1.835423081	2.81279392	-3.999594949	-0.044946339	1.467337741	-0.962702983
2001-03-20	2.632321714	2.883668798	1.835556548	1.88272455	-2.458160695	-1.64234899	-0.321885279	3.729944104	0.877789302	-2.357078521	-0.768767695
2001-03-21	-2.813488537	-3.503945677	-1.050753399	-1.800227454	-1.890035119	-1.899658654	-3.139386054	0.22495533	-0.110875244	0.178502953	1.531670411
2001-03-22	-5.603904524	-6.059816608	-6.170241927	-4.891440607	-0.511347441	0.846286382	-1.060143897	-7.01055969	-2.668651249	-3.06062662	-1.491061274
2001-03-23	3.659477622	3.862572301	3.165644735	2.200051157	2.034253569	-0.386790036	0.254997652	0.425650743	1.509099289	-1.471049801	2.999625015
2001-03-26	3.593566703	3.486406152	2.683491244	3.425794002	1.301664505	1.10655906	1.076953499	3.236333818	1.863857329	1.669150738	0.078771174
2001-03-27	2.44182471	3.909372794	2.733576649	3.053769268	2.723565085	0.291276991	-0.335736019	1.862475376	-0.588206938	2.462699666	1.910761974
2001-03-28	-2.65815385	-3.136249826	-2.09379092	-2.184669929	-2.452363232	-3.898559723	-1.586185651	-0.88458655	-2.073883775	-1.860497336	-2.423887236
2001-03-29	-0.694674593	0.196153383	0.358294184	-0.165645741	-0.371819646	-0.911250848	-3.180314012	-2.78719296	-1.076390198	-0.823056094	-3.094480385
2001-03-30	0.765771844	0.004054173	0.831773599	0.034314807	1.093828714	2.16114168	0.185581492	0.069212523	-2.682876763	1.594221471	0.974824941
2001-04-02	0.265295322	-1.511601728	0.232244829	-0.398908475	-1.257176392	0.614560902	-1.269087735	-2.054311936	-1.820337077	0.094414161	-2.579467477
2001-04-03	-3.408352283	-3.167786215	-2.009721018	-2.31630612	-3.623321738	-3.259401838	-3.982389851	-2.373426853	-2.357993314	-1.990897484	2.700655131
2001-04-04	3.111661908	2.458773434	2.87020612	1.818967672	-0.292813813	0.430410332	-1.645075261	1.249993647	1.526040806	-0.323832035	2.196135377
2001-04-05	1.008360951	2.40108747	0.900053982	1.096342478	4.369214783	1.514077959	6.008124955	3.224177844	2.471093833	2.517904834	0
2001-04-06	0.266956469	-0.773931577	0.398651761	0.519501867	-1.966577799	-0.876217678	-1.547464947	1.007863675	-1.318974135	0.28655599	-0.594178813
2001-04-09	0.855910923	1.485187955	1.330272308	1.751510415	0.85077952	1.322277337	0.834155728	0.581999535	1.535066539	1.997010899	0.436076013
2001-04-10	1.458660725	0.815451277	-0.306959893	1.528833154	2.572940526	3.374479426	1.693568731	2.756268035	2.117173294	3.585414168	4.863945963
2001-04-11	-0.098094036	-0.120287203	-1.728440382	-0.67866982	-0.284511896	-0.987902575	2.073966197	-1.988723809	2.83208	0.811474101	-0.037686075
2001-04-12	1.0473939	1.50079079	1.306303216	0.093950109	1.398857194	1.740885369	-1.360877079	-0.280622446	0.254852709	-0.32223766	3.11713549
2001-04-17	-1.761814556	-2.531046819	-1.16647677	-0.598721005	0.875713331	-0.076781437	-1.689516406	-3.850818739	-1.190915588	1.515401391	0.945461588
2001-04-18	1.670008412	2.840674306	0.7187368	1.546470463	3.733275847	3.519496344	3.44414396	3.839341767	1.863576943	2.367577009	-1.238180422
2001-04-19	1.334382784	2.042674348	1.541942185	0.736458823	1.357501232	1.504681257	2.222482779	-3.136751624	0.795656143	-3.429794473	-1.699967028
2001-04-20	0.804273662	0.438922189	0.546900436	0.36332269	-0.805489374	-0.112140092	-3.630999847	-6.173287026	-0.700967107	-1.256819746	-1.653551392
2001-04-23	-1.270315125	-1.450606131	-1.910901457	-0.202609345	-1.528289217	-1.935815241	-2.766821152	0.467510974	-1.219364941	-1.503951922	0.604459717
2001-04-24	0.085020642	0.724917471	0.861596152	-0.827493722	-1.263226499	-1.217880062	1.724104345	1.67464965	1.216130881	1.442740404	-0.870064123
2001-04-25	0.265689815	0.174376481	0.734249873	-0.055379749	1.68105196	1.157219595	0.955376558	-0.33519339	0.631819777	0.329307674	1.88187714
2001-04-26	1.872528147	0.593421552	0.170353415	0.686223394	0.505830493	-0.048270619	3.823916692	4.401587826	1.536826171	2.516337106	2.866789487
2001-04-27	0.683879209	-0.326590182	-0.24819179	1.08273147	1.366637691	0.339916481	3.809147928	2.911857382	0.655978559	-0.62783171	0.686047103
2001-04-30	0.416404039	0.705147098	0.628219069	-0.194620584	-0.277489072	-0.157086731	-0.014854091	1.901406915	2.079786994	0.917007473	0.359195788
2001-05-01	0.528740363	0.528742496	0.528744135	-0.492166507	1.423706762	0.318687867	0	-0.8438995	0.099871055	-0.032432893	1.56531122
2001-05-02	-1.115484189	-0.884476069	-0.088029001	-0.451357445	0.108867456	1.109401679	0.089037103	-0.865431121	-1.059300918	1.530862266	-2.646792561
2001-05-03	-1.718174155	-1.840866759	-1.801416753	-2.26987991	-1.527573598	-0.90720786	1.531773489	-0.087700894	-1.2384245	0.022617688	1.724800214
2001-05-04	0.147089892	0.858174288	0.130415211	2.078000814	1.495362773	0.129103298	0.79335594	1.01804184	0.669892815	0.383268189	0.426591475
2001-05-08	0.067577669	-1.583250324	-1.380032668	-0.055282473	-0.451076349	0.317308089	5.159264187	-2.724958258	0.926125738	-1.76205245	-1.03406163
2001-05-09	-0.545244358	-0.861591115	-1.02870521	-0.542778119	-0.479789622	0.418760529	0.119182735	0.066851937	0.941805427	1.255300706	0.892066576
2001-05-10	1.795954415	1.353005688	0.939551688	1.513959941	-0.057445841	0.613932545	1.636317236	1.239627135	0.942014767	0.095039	1.165473196
2001-05-11	-1.554105566	-1.158850452	-0.881416538	-1.253569066	-0.767533697	-1.812274361	-1.66771244	-2.739077147	-0.740048973	0.161223986	-1.023478142
2001-05-14	-1.681021229	-1.418914094	0.34710262	-3.699162006	0.32641187	-0.440167667	-1.955882465	-2.530040188	-0.417896734	-1.01454522	0.31875359
2001-05-15	1.577593918	0.72465498	0.129395604	2.794066222	-0.030611475	0.789950893	0.345458579	-0.590600278	0.58901042	-0.824473782	-0.425230974
2001-05-16	0.277418363	1.646948198	0.030504559	1.046877609	2.800799525	1.637184838	-0.219666487	2.498546912	1.996172661	1.075873843	0.707717037
2001-05-17	0.975473452	0.22692632	-0.284789239	0.324064608	0.209175	1.336924313	5.728861851	1.741716525	2.275381578	7.300207282	0.3519891
2001-05-18	0.209585437	-0.395510081	-0.304792026	0.03377476	0.168137737	0.526200251	1.258151494	0.679413636	0.069269899	1.880606126	3.215488777
